OBJECTID,ATTRIBUTE,WETLAND_TYPE,ACRES,GLOBALID,ShapeSTArea,ShapeSTLength
1,PEMAf,Freshwater Emergent Wetland,1.09560547,{31E8E4CF-6EAD-4DD0-A564-F48629130C59},4430.465164,309.7583296
2,PFO1/4Bg,Freshwater Forested/Shrub Wetland,17.49108287,{B58C9857-22A5-41FC-8CB5-BE5B2E779947},70753.8445,1813.272448
3,PEMC,Freshwater Emergent Wetland,16.54896786,{91D95309-C649-4892-BE7F-73182BC5B365},66933.80243,1369.590996
4,PFO1C,Freshwater Forested/Shrub Wetland,5.21753576,{5A2CCEA2-6FDA-41C3-A3D2-3361245C1076},21098.42093,1101.384212
5,PEMC,Freshwater Emergent Wetland,11.6016696,{88CBEE2D-6DAC-426C-B51C-9B4DC5D0A3A0},46926.85115,985.3290527
6,PFO1C,Freshwater Forested/Shrub Wetland,9.4043713,{5AED4F44-48BA-45DC-BC62-6C1E74AB7F60},38030.85703,1632.712366
7,PFOB,Freshwater Forested/Shrub Wetland,2.44808322,{B9E0DB08-D5C0-45EA-BA59-8094093775A6},9900.427963,368.8380704
8,PFO1C,Freshwater Forested/Shrub Wetland,5.11186705,{629CF980-959B-4AC0-8D75-6DC730B8CEF5},20672.56807,659.4566331
9,PSS/EMC,Freshwater Forested/Shrub Wetland,16.15089273,{D89B2E00-53B2-4015-BF6C-2974706D7094},65320.69336,1294.192204
10,PUBG,Freshwater Pond,0.28436619,{40EFBEBB-272A-4B7D-87E9-AF6D623B3676},1149.869453,136.2852442
11,PFO1B,Freshwater Forested/Shrub Wetland,2.06369256,{B97A5986-461D-45DA-AE47-169851CAE596},8345.601425,387.7308485
12,PUBH,Freshwater Pond,5.62088227,{8E5274FA-93F3-42F9-A98D-8C9274936599},22735.39383,667.1702239
13,PSS1C,Freshwater Forested/Shrub Wetland,5.07372522,{8A8E985B-4B54-4D0E-89B7-2FCC59D70042},20520.45573,1083.880517
14,PFOB,Freshwater Forested/Shrub Wetland,0.43971026,{745F7A55-E3FA-49DC-A740-C0C98262D961},1778.894012,156.4598303
15,PUBH,Freshwater Pond,0.69226874,{63C2F98D-93E2-4688-90A4-D4E9782C0181},2799.277588,210.2909167
16,PSS3/1B,Freshwater Forested/Shrub Wetland,17.5863219,{062124A2-1C14-410F-A9E0-2D640E1C78B8},71113.12154,1910.543154
17,PFO1C,Freshwater Forested/Shrub Wetland,12.14791512,{49FDF5DA-0E65-4122-9AAD-FCE11ADE312A},49122.78651,1106.331197
18,PFO1C,Freshwater Forested/Shrub Wetland,8.76292762,{0EFA1C6F-7525-475C-AC0B-5282D5A16913},35436.64626,1727.628167
19,PFO4B,Freshwater Forested/Shrub Wetland,5.58451691,{E566730C-2F0C-4CFA-8CE6-B44105F86095},22582.2881,882.2247702
20,PEMA,Freshwater Emergent Wetland,0.14976252,{7E59BCBB-9336-434C-970F-24D027A40EB6},605.5965042,94.55751585
21,PFO/SSC,Freshwater Forested/Shrub Wetland,4.94609501,{551A79E2-40C3-4802-8297-F6C6CD8D0119},20011.89453,650.9843751
22,PEMC,Freshwater Emergent Wetland,1.14677685,{2379A622-8A16-4B8D-8B36-9909A55734FD},4637.202591,274.9949283
23,PEM1C,Freshwater Emergent Wetland,13.37712251,{090944A8-FC87-4DC6-A10B-F1946B5439E8},54125.90269,985.2952735
24,PEMC,Freshwater Emergent Wetland,0.87124397,{5F5E5475-3B3D-4686-A2E2-0C040BDF0F90},3522.990433,251.3184936
25,PSS1C,Freshwater Forested/Shrub Wetland,0.282164,{D1E8B86A-D55C-438E-9F38-8FAFAE396B25},1140.995224,127.4512747
26,PEMC,Freshwater Emergent Wetland,0.2993855,{CCF4A586-387B-43D0-8433-60590E02835B},1210.604279,130.3699555
27,PSS1B,Freshwater Forested/Shrub Wetland,4.7207082,{322E00AE-6121-4354-BB83-429E6AE45854},19094.63388,844.6798478
28,PFO1C,Freshwater Forested/Shrub Wetland,1.04066954,{E95B5D42-73D8-4241-BCA8-2BE74CE31F2D},4208.709763,312.7193539
29,PEMC,Freshwater Emergent Wetland,34.76689195,{CBCAA984-E19C-4505-BA93-45CE5335F6C6},140674.3791,3193.756342
30,PUBGx,Freshwater Pond,0.40698818,{FA0A5E07-8235-4D12-8B55-FD30123E8D1C},1645.730309,203.3575102
31,PFO1C,Freshwater Forested/Shrub Wetland,0.71131294,{485AD31C-2709-4009-BDEC-2141C821D4E3},2876.784271,204.6580085
32,L1UBH,Lake,31.77918917,{F7613A8E-94AA-42EC-84B6-60A32890308D},128511.9402,1772.86531
33,PUBH,Freshwater Pond,2.74987994,{8E7535B2-8003-4790-B488-DEB7C6F7F55D},11120.84218,508.6350312
34,PFO1C,Freshwater Forested/Shrub Wetland,8.4320932,{B87BA915-A60A-469D-B32D-49522CAEFD06},34101.48,1577.365665
35,PABG,Freshwater Pond,0.34852642,{8A6A94F1-BD25-4F9B-8849-8810C1AE0AEF},1409.88002,152.6181493
36,PSS1C,Freshwater Forested/Shrub Wetland,34.32240438,{54B68C00-992D-41B1-94E1-9361AFEC0BC2},138843.5381,4974.112457
37,PUBG,Freshwater Pond,0.58738485,{882161FE-D835-4A3F-9DA0-E5313D97E4BC},2375.209801,182.8931585
38,PFO1C,Freshwater Forested/Shrub Wetland,0.79913181,{3FE2DE32-56D9-4960-81E7-182548C37A92},3231.386002,222.878887
39,PUBGh,Freshwater Pond,0.02940255,{6CD27C91-A848-4FC8-A0BF-24122DFD60A1},118.9003601,44.37272796
40,PFOB,Freshwater Forested/Shrub Wetland,3.68347875,{46DB5C06-F566-44D3-A0A5-799E0C95CF71},14909.85507,521.0027479
41,PFO1B,Freshwater Forested/Shrub Wetland,0.28824647,{A201D876-1805-4CEF-AF14-E5DF8632BB75},1165.631027,124.9497452
